State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,3266740,8,10,326674.000000,3.333179
Alaska,226167,1,3,75389.000000,0.000000
Arizona,1302161,3,5,260432.200000,2.454512
Arkansas,1786272,4,6,297712.000000,2.949011
California,15717204,38,40,392930.100000,4.212035
Colorado,1753947,4,6,292324.500000,2.877548
Connecticut,2535234,6,8,316904.250000,3.203587
Delaware,446292,1,3,148764.000000,0.973285
DistrictofColumbia,763956,,,,
Florida,4951560,12,14,353682.857143,3.691439
Georgia,3943116,10,12,328593.000000,3.358633
Hawaii,632772,2,4,158193.000000,1.098357
Idaho,667191,2,4,166797.750000,1.212495
Illinois,10081158,24,26,387736.846154,4.143149
Indiana,4662498,11,13,358653.692308,3.757374
Iowa,2757537,7,9,306393.000000,3.064161
Kansas,2178611,5,7,311230.142857,3.128323
Kentucky,3038156,7,9,337572.888889,3.477747
Louisiana,3257022,8,10,325702.200000,3.320288
Maine,969265,2,4,242316.250000,2.214212
Maryland,3100689,8,10,310068.900000,3.112920
Massachusetts,5148578,12,14,367755.571429,3.878107
Michigan,7823194,19,21,372533.047619,3.941478
Minnesota,3413864,8,10,341386.400000,3.528332
Mississippi,2178141,5,7,311163.000000,3.127432
Missouri,4319813,10,12,359984.416667,3.775026
Montana,674767,2,4,168691.750000,1.237618
Nebraska,1411330,3,5,282266.000000,2.744127
Nevada,285278,1,3,95092.666667,0.261360
NewHampshire,606921,2,4,151730.250000,1.012631
NewJersey,6066782,15,17,356869.529412,3.733708
NewMexico,951023,2,4,237755.750000,2.153719
NewYork,16782304,41,43,390286.139535,4.176964
NorthCarolina,4556155,11,13,350473.461538,3.648867
NorthDakota,632446,2,4,158111.500000,1.097275
Ohio,9706397,24,26,373322.961538,3.951955
Oklahoma,2328284,6,8,291035.500000,2.860450
Oregon,1768687,4,6,294781.166667,2.910135
Pennsylvania,11319366,27,29,390322.965517,4.177452
RhodeIsland,859488,2,4,214872.000000,1.850177
SouthCarolina,2382594,6,8,297824.250000,2.950500
SouthDakota,680514,2,4,170128.500000,1.256675
Tennessee,3567089,9,11,324280.818182,3.301434
Texas,9579677,23,25,383187.080000,4.082798
Utah,890627,2,4,222656.750000,1.953438
Vermont,389881,1,3,129960.333333,0.723863
Virginia,3966949,10,12,330579.083333,3.384978
Washington,2853214,7,9,317023.777778,3.205173
WestVirginia,1860421,5,7,265774.428571,2.525374
Wisconsin,3951777,10,12,329314.750000,3.368207
Wyoming,330066,1,3,110022.000000,0.459391
