State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,3061743,9,11,278340.272727,5.490993
Alaska,128643,1,3,42881.000000,0.000000
Arizona,749587,2,4,187396.750000,3.370158
Arkansas,1909511,6,8,238688.875000,4.566309
California,10586223,30,32,330819.468750,6.714826
Colorado,1325089,4,6,220848.166667,4.150257
Connecticut,2007280,6,8,250910.000000,4.851309
Delaware,318085,1,3,106028.333333,1.472618
DistrictofColumbia,802178,,,,
Florida,2771305,8,10,277130.500000,5.462781
Georgia,3444578,10,12,287048.166667,5.694064
Hawaii,499794,1,3,166598.000000,2.885124
Idaho,588637,2,4,147159.250000,2.431805
Illinois,8712176,25,27,322673.185185,6.524852
Indiana,3934224,11,13,302632.615385,6.057499
Iowa,2621073,8,10,262107.300000,5.112434
Kansas,1905299,6,8,238162.375000,4.554030
Kentucky,2944806,8,10,294480.600000,5.867391
Louisiana,2683516,8,10,268351.600000,5.258054
Maine,913774,3,5,182754.800000,3.261906
Maryland,2343001,7,9,260333.444444,5.071067
Massachusetts,4690514,14,16,293157.125000,5.836527
Michigan,6371766,18,20,318588.300000,6.429591
Minnesota,2982483,9,11,271134.818182,5.322959
Mississippi,2178914,6,8,272364.250000,5.351630
Missouri,3954653,11,13,304204.076923,6.094146
Montana,591024,2,4,147756.000000,2.445722
Nebraska,1325510,4,6,220918.333333,4.151893
Nevada,160083,1,3,53361.000000,0.244397
NewHampshire,533242,2,4,133310.500000,2.108848
NewJersey,4835329,14,16,302208.062500,6.047598
NewMexico,681187,2,4,170296.750000,2.971380
NewYork,14830192,43,45,329559.822222,6.685451
NorthCarolina,4061929,12,14,290137.785714,5.766115
NorthDakota,619636,2,4,154909.000000,2.612532
Ohio,7946627,23,25,317865.080000,6.412725
Oklahoma,2233351,6,8,279168.875000,5.510316
Oregon,1521341,4,6,253556.833333,4.913035
Pennsylvania,10498012,30,32,328062.875000,6.650542
RhodeIsland,791896,2,4,197974.000000,3.616823
SouthCarolina,2117027,6,8,264628.375000,5.171227
SouthDakota,652740,2,4,163185.000000,2.805532
Tennessee,3291718,9,11,299247.090909,5.978547
Texas,7711194,22,24,321299.750000,6.492823
Utah,688862,2,4,172215.500000,3.016126
Vermont,377747,1,3,125915.666667,1.936398
Virginia,3318680,10,12,276556.666667,5.449399
Washington,2378963,7,9,264329.222222,5.164250
WestVirginia,2005552,6,8,250694.000000,4.846272
Wisconsin,3434575,10,12,286214.583333,5.674625
Wyoming,290529,1,3,96843.000000,1.258413
