State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,964201,7,9,107133.444444,5.125995
Alaska,,,,,
Arizona,6482,,,,
Arkansas,435450,2,4,108862.500000,5.224864
California,379994,2,4,94998.500000,4.432107
Colorado,34277,,,,
Connecticut,460147,4,6,76691.166667,3.385276
Delaware,112216,1,3,37405.333333,1.138874
DistrictofColumbia,75080,,,,
Florida,140424,1,3,46808.000000,1.676527
Georgia,1057286,8,10,105728.600000,5.045665
Hawaii,,,,,
Idaho,,,,,
Illinois,1711951,9,11,155631.909091,7.899185
Indiana,1350428,11,13,103879.076923,4.939907
Iowa,674913,2,4,168728.250000,8.648046
Kansas,107206,,,,
Kentucky,1155684,10,12,96307.000000,4.506928
Louisiana,708002,4,6,118000.333333,5.747374
Maine,628279,6,8,78534.875000,3.490701
Maryland,687049,6,8,85881.125000,3.910767
Massachusetts,1231066,11,13,94697.384615,4.414889
Michigan,749113,4,6,124852.166667,6.139169
Minnesota,172023,2,4,43005.750000,1.459111
Mississippi,791305,5,7,113043.571429,5.463942
Missouri,1182012,7,9,131334.666667,6.509845
Montana,,,,,
Nebraska,28841,,,,
Nevada,6857,,,,
NewHampshire,326073,3,5,65214.600000,2.729035
NewJersey,672035,5,7,96005.000000,4.489660
NewMexico,87034,,,,
NewYork,3880735,33,35,110878.142857,5.340121
NorthCarolina,992622,8,10,99262.200000,4.675910
NorthDakota,,,,,
Ohio,2339511,21,23,101717.869565,4.816327
Oklahoma,,,,,
Oregon,52465,1,3,17488.333333,0.000000
Pennsylvania,2906215,25,27,107637.592593,5.154823
RhodeIsland,174620,2,4,43655.000000,1.496236
SouthCarolina,703708,6,8,87963.500000,4.029839
SouthDakota,4837,,,,
Tennessee,1109801,10,12,92483.416667,4.288292
Texas,604215,2,4,151053.750000,7.637401
Utah,40273,,,,
Vermont,315098,3,5,63019.600000,2.603522
Virginia,1596318,13,15,106421.200000,5.085268
Washington,11594,,,,
WestVirginia,376688,,,,
Wisconsin,775881,5,7,110840.142857,5.337948
Wyoming,,,,,
