State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,2138093,10,12,178174.416667,5.528528
Alaska,64356,,,,
Arizona,204354,1,3,68118.000000,1.495927
Arkansas,1574449,7,9,174938.777778,5.409970
California,2377549,11,13,182888.384615,5.701254
Colorado,799024,4,6,133170.666667,3.879536
Connecticut,1114756,5,7,159250.857143,4.835146
Delaware,202322,1,3,67440.666667,1.471108
DistrictofColumbia,331069,,,,
Florida,752619,4,6,125436.500000,3.596147
Georgia,2609121,12,14,186365.785714,5.828670
Hawaii,191874,,,,
Idaho,325594,2,4,81398.500000,1.982540
Illinois,5638591,27,29,194434.172414,6.124306
Indiana,2700876,13,15,180058.400000,5.597560
Iowa,2224771,11,13,171136.230769,5.270641
Kansas,1690949,8,10,169094.900000,5.195844
Kentucky,2289905,11,13,176146.538462,5.454224
Louisiana,1656388,8,10,165638.800000,5.069208
Maine,742371,4,6,123728.500000,3.533563
Maryland,1295346,6,8,161918.250000,4.932882
Massachusetts,3366416,16,18,187023.111111,5.852755
Michigan,2810173,13,15,187344.866667,5.864545
Minnesota,2075708,10,12,172975.666667,5.338040
Mississippi,1797114,8,10,179711.400000,5.584845
Missouri,3293335,16,18,182963.055556,5.703990
Montana,376053,2,4,94013.250000,2.444760
Nebraska,1192214,6,8,149026.750000,4.460522
Nevada,81875,1,3,27291.666667,0.000000
NewHampshire,430572,2,4,107643.000000,2.944171
NewJersey,2537167,12,14,181226.214286,5.640350
NewMexico,327301,1,3,109100.333333,2.997569
NewYork,9113614,43,45,202524.755556,6.420754
NorthCarolina,2206287,10,12,183857.250000,5.736754
NorthDakota,577056,3,5,115411.200000,3.228807
Ohio,4767121,22,24,198630.041667,6.278047
Oklahoma,1657155,8,10,165715.500000,5.072018
Oregon,672765,3,5,134553.000000,3.930186
Pennsylvania,7665111,36,38,201713.447368,6.391027
RhodeIsland,542610,3,5,108522.000000,2.976379
SouthCarolina,1515400,7,9,168377.777778,5.169567
SouthDakota,583888,3,5,116777.600000,3.278874
Tennessee,2184789,10,12,182065.750000,5.671111
Texas,3896542,18,20,194827.100000,6.138703
Utah,373351,2,4,93337.750000,2.420009
Vermont,355956,2,4,88989.000000,2.260666
Virginia,2061612,10,12,171801.000000,5.294998
Washington,1141990,5,7,163141.428571,4.977701
WestVirginia,1221119,6,8,152639.875000,4.592911
Wisconsin,2333860,11,13,179527.692308,5.578114
Wyoming,145965,1,3,48655.000000,0.782779
