State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,9046,,,,
Alaska,,,,,
Arizona,,,,,
Arkansas,1062,,,,
California,,,,,
Colorado,,,,,
Connecticut,261942,7,9,29104.666667,0.601930
Delaware,72674,2,4,18168.500000,0.000000
DistrictofColumbia,15471,,,,
Florida,,,,,
Georgia,251407,6,8,31425.875000,0.729690
Hawaii,,,,,
Idaho,,,,,
Illinois,12282,,,,
Indiana,24520,,,,
Iowa,,,,,
Kansas,,,,,
Kentucky,406511,10,12,33875.916667,0.864541
Louisiana,76556,1,3,25518.666667,0.404556
Maine,228705,,,,
Maryland,380546,9,11,34595.090909,0.904125
Massachusetts,472040,20,22,21456.363636,0.180965
Michigan,4762,,,,
Minnesota,,,,,
Mississippi,31306,,,,
Missouri,19783,,,,
Montana,,,,,
Nebraska,,,,,
Nevada,,,,,
NewHampshire,214460,6,8,26807.500000,0.475493
NewJersey,245562,6,8,30695.250000,0.689476
NewMexico,,,,,
NewYork,959049,27,29,33070.655172,0.820219
NorthCarolina,556526,13,15,37101.733333,1.042091
NorthDakota,,,,,
Ohio,230760,6,8,28845.000000,0.587638
Oklahoma,,,,,
Oregon,,,,,
Pennsylvania,810091,25,27,30003.370370,0.651395
RhodeIsland,76931,2,4,19232.750000,0.058577
SouthCarolina,415115,9,11,37737.727273,1.077096
SouthDakota,,,,,
Tennessee,261727,6,8,32715.875000,0.800692
Texas,,,,,
Utah,,,,,
Vermont,217895,6,8,27236.875000,0.499126
Virginia,983152,23,25,39326.080000,1.164520
Washington,,,,,
WestVirginia,105469,,,,
Wisconsin,,,,,
Wyoming,,,,,
