State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,3444165,7,9,382685.000000,2.821983
Alaska,300382,1,3,100127.333333,0.000000
Arizona,1770900,4,6,295150.000000,1.947747
Arkansas,1923295,4,6,320549.166667,2.201415
California,19953134,43,45,443402.977778,3.428391
Colorado,2207259,5,7,315322.714286,2.149217
Connecticut,3031709,6,8,378963.625000,2.784817
Delaware,548104,1,3,182701.333333,0.824690
DistrictofColumbia,756510,,3,252170.000000,1.518493
Florida,6789443,15,17,399379.000000,2.988711
Georgia,4589575,10,12,382464.583333,2.819782
Hawaii,768561,2,4,192140.250000,0.918959
Idaho,712567,2,4,178141.750000,0.779152
Illinois,11113976,24,26,427460.615385,3.269170
Indiana,5193669,11,13,399513.000000,2.990049
Iowa,2824376,6,8,353047.000000,2.525980
Kansas,2246578,5,7,320939.714286,2.205316
Kentucky,3218706,7,9,357634.000000,2.571792
Louisiana,3641306,8,10,364130.600000,2.636675
Maine,992048,2,4,248012.000000,1.476966
Maryland,3922399,8,10,392239.900000,2.917411
Massachusetts,5689170,12,14,406369.285714,3.058525
Michigan,8875083,19,21,422623.000000,3.220855
Minnesota,3804971,8,10,380497.100000,2.800132
Mississippi,2216912,5,7,316701.714286,2.162990
Missouri,4676501,10,12,389708.416667,2.892128
Montana,694409,2,4,173602.250000,0.733815
Nebraska,1483493,3,5,296698.600000,1.963213
Nevada,488738,1,3,162912.666667,0.627055
NewHampshire,737681,2,4,184420.250000,0.841857
NewJersey,7168164,15,17,421656.705882,3.211205
NewMexico,1016000,2,4,254000.000000,1.536770
NewYork,18236967,39,41,444804.073171,3.442384
NorthCarolina,5082059,11,13,390927.615385,2.904305
NorthDakota,617761,1,3,205920.333333,1.056585
Ohio,10652017,23,25,426080.680000,3.255388
Oklahoma,2559229,6,8,319903.625000,2.194968
Oregon,2091385,4,6,348564.166667,2.481209
Pennsylvania,11793909,25,27,436811.444444,3.362559
RhodeIsland,946725,2,4,236681.250000,1.363803
SouthCarolina,2590516,6,8,323814.500000,2.234027
SouthDakota,665507,2,4,166376.750000,0.661652
Tennessee,3923687,8,10,392368.700000,2.918697
Texas,11196730,24,26,430643.461538,3.300958
Utah,1059273,2,4,264818.250000,1.644815
Vermont,444330,1,3,148110.000000,0.479216
Virginia,4648494,10,12,387374.500000,2.868819
Washington,3409169,7,9,378796.555556,2.783148
WestVirginia,1744237,4,6,290706.166667,1.903365
Wisconsin,4417731,9,11,401611.909091,3.011012
Wyoming,332416,1,3,110805.333333,0.106644
