State,Population,Apportionment,Electoral Votes,AverageConstituency,RelativeUnfairness
Alabama,4040587,7,9,448954.111111,1.969352
Alaska,550043,1,3,183347.666667,0.212649
Arizona,3665228,6,8,458153.500000,2.030196
Arkansas,2350725,4,6,391787.500000,1.591256
California,29760021,52,54,551111.500000,2.645014
Colorado,3294394,6,8,411799.250000,1.723612
Connecticut,3287116,6,8,410889.500000,1.717595
Delaware,666168,1,3,222056.000000,0.468663
DistrictofColumbia,606900,,3,202300.000000,0.337998
Florida,12937926,23,25,517517.040000,2.422822
Georgia,6478216,11,13,498324.307692,2.295883
Hawaii,1108229,2,4,277057.250000,0.832438
Idaho,1006749,2,4,251687.250000,0.664642
Illinois,11430602,20,22,519572.818182,2.436419
Indiana,5544159,10,12,462013.250000,2.055724
Iowa,2776755,5,7,396679.285714,1.623610
Kansas,2477574,4,6,412929.000000,1.731084
Kentucky,3685296,6,8,460662.000000,2.046787
Louisiana,4219973,7,9,468885.888889,2.101179
Maine,1227928,2,4,306982.000000,1.030358
Maryland,4781468,8,10,478146.800000,2.162430
Massachusetts,6016425,10,12,501368.750000,2.316019
Michigan,9295297,16,18,516405.388889,2.415470
Minnesota,4375099,8,10,437509.900000,1.893661
Mississippi,2573216,5,7,367602.285714,1.431296
Missouri,5117073,9,11,465188.454545,2.076725
Montana,799065,1,3,266355.000000,0.761654
Nebraska,1578385,3,5,315677.000000,1.087866
Nevada,1201833,2,4,300458.250000,0.987210
NewHampshire,1109252,2,4,277313.000000,0.834129
NewJersey,7730188,13,15,515345.866667,2.408462
NewMexico,1515069,3,5,303013.800000,1.004113
NewYork,17990455,31,33,545165.303030,2.605686
NorthCarolina,6628637,12,14,473474.071429,2.131525
NorthDakota,638800,1,3,212933.333333,0.408326
Ohio,10847115,19,21,516529.285714,2.416289
Oklahoma,3145585,6,8,393198.125000,1.600585
Oregon,2842321,5,7,406045.857143,1.685560
Pennsylvania,11881643,21,23,516593.173913,2.416712
RhodeIsland,1003464,2,4,250866.000000,0.659211
SouthCarolina,3486703,6,8,435837.875000,1.882602
SouthDakota,696004,1,3,232001.333333,0.534441
Tennessee,4877185,9,11,443380.454545,1.932488
Texas,16986510,30,32,530828.437500,2.510863
Utah,1722850,3,5,344570.000000,1.278962
Vermont,562758,1,3,187586.000000,0.240681
Virginia,6187358,11,13,475950.615385,2.147905
Washington,4866692,9,11,442426.545455,1.926179
WestVirginia,1793477,3,5,358695.400000,1.372387
Wisconsin,4891769,9,11,444706.272727,1.941257
Wyoming,453588,1,3,151196.000000,0.000000
