State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,1828697,9,11,166245.181818,10.780691
Alaska,63592,,,,
Arizona,122931,,,,
Arkansas,1311564,6,8,163945.500000,10.617728
California,1485053,7,9,165005.888889,10.692870
Colorado,539700,2,4,134925.000000,8.561238
Connecticut,908420,4,6,151403.333333,9.728948
Delaware,184735,1,3,61578.333333,3.363647
DistrictofColumbia,278718,,,,
Florida,528542,2,4,132135.500000,8.363564
Georgia,2216331,11,13,170487.000000,11.081280
Hawaii,154001,,,,
Idaho,161772,1,3,53924.000000,2.821235
Illinois,4821550,22,24,200897.916667,13.236300
Indiana,2516462,13,15,167764.133333,10.888329
Iowa,2231853,11,13,171681.000000,11.165891
Kansas,1470495,8,10,147049.500000,9.420420
Kentucky,2147174,11,13,165167.230769,10.704304
Louisiana,1381625,6,8,172703.125000,11.238322
Maine,694466,4,6,115744.333333,7.202031
Maryland,1188044,6,8,148505.500000,9.523597
Massachusetts,2805346,13,15,187023.066667,12.253081
Michigan,2420982,12,14,172927.285714,11.254207
Minnesota,1751394,7,9,194599.333333,12.789961
Mississippi,1551270,7,9,172363.333333,11.214244
Missouri,3106665,15,17,182745.000000,11.949923
Montana,243329,1,3,81109.666667,4.747703
Nebraska,1066300,6,8,133287.500000,8.445199
Nevada,42335,1,3,14111.666667,0.000000
NewHampshire,411588,2,4,102897.000000,6.291626
NewJersey,1883669,8,10,188366.900000,12.348310
NewMexico,195310,,,,
NewYork,7268894,34,36,201913.722222,13.308283
NorthCarolina,1893810,9,11,172164.545455,11.200157
NorthDakota,319146,1,3,106382.000000,6.538585
Ohio,4157545,21,23,180762.826087,11.809460
Oklahoma,790391,,,,
Oregon,413536,2,4,103384.000000,6.326137
Pennsylvania,6302115,30,32,196941.093750,12.955906
RhodeIsland,428556,2,4,107139.000000,6.592229
SouthCarolina,1340316,7,9,148924.000000,9.553254
SouthDakota,401570,2,4,100392.500000,6.114149
Tennessee,2020616,10,12,168384.666667,10.932302
Texas,3048710,13,15,203247.333333,13.402787
Utah,276749,1,3,92249.666667,5.537121
Vermont,343641,2,4,85910.250000,5.087888
Virginia,1854184,10,12,154515.333333,9.949474
Washington,518103,2,4,129525.750000,8.178629
WestVirginia,958800,4,6,159800.000000,10.323964
Wisconsin,2069042,12,14,147788.714286,9.472804
Wyoming,92531,1,3,30843.666667,1.185686
