State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,590756,5,7,84393.714286,2.242379
Alaska,,,,,
Arizona,,,,,
Arkansas,97574,1,3,32524.666667,0.249587
California,,,,,
Colorado,,,,,
Connecticut,309978,6,8,38747.250000,0.488657
Delaware,78085,1,3,26028.333333,0.000000
DistrictofColumbia,33745,,,,
Florida,54477,,,,
Georgia,691392,9,11,62853.818182,1.414823
Hawaii,,,,,
Idaho,,,,,
Illinois,476183,3,5,95236.600000,2.658959
Indiana,685866,7,9,76207.333333,1.927861
Iowa,43112,,,,
Kansas,,,,,
Kentucky,779828,13,15,51988.533333,0.997382
Louisiana,352411,3,5,70482.200000,1.707903
Maine,501793,8,10,50179.300000,0.927872
Maryland,470019,8,10,47001.900000,0.805798
Massachusetts,737699,12,14,52692.785714,1.024439
Michigan,212267,1,3,70755.666667,1.718409
Minnesota,,,,,
Mississippi,375651,2,4,93912.750000,2.608097
Missouri,383702,2,4,95925.500000,2.685426
Montana,,,,,
Nebraska,,,,,
Nevada,,,,,
NewHampshire,284574,5,7,40653.428571,0.561891
NewJersey,373306,6,8,46663.250000,0.792787
NewMexico,,,,,
NewYork,2428921,40,42,57831.452381,1.221865
NorthCarolina,753419,13,15,50227.933333,0.929741
NorthDakota,,,,,
Ohio,1519467,19,21,72355.571429,1.779877
Oklahoma,,,,,
Oregon,,,,,
Pennsylvania,1724033,28,30,57467.766667,1.207893
RhodeIsland,108830,2,4,27207.500000,0.045303
SouthCarolina,594398,9,11,54036.181818,1.076052
SouthDakota,,,,,
Tennessee,829210,13,15,55280.666667,1.123865
Texas,,,,,
Utah,,,,,
Vermont,291948,5,7,41706.857143,0.602364
Virginia,1249764,21,23,54337.565217,1.087631
Washington,,,,,
WestVirginia,224537,,,,
Wisconsin,30945,,,,
Wyoming,,,,,
