State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,996992,8,10,99699.200000,5.965315
Alaska,,,,,
Arizona,9658,,,,
Arkansas,484471,4,6,80745.166667,4.641124
California,560247,4,6,93374.500000,5.523451
Colorado,39864,,,,
Connecticut,537454,4,6,89575.666667,5.258052
Delaware,125015,1,3,41671.666667,1.911320
DistrictofColumbia,131700,,,,
Florida,187748,2,4,46937.000000,2.279174
Georgia,1184109,9,11,107646.272727,6.520524
Hawaii,,,,,
Idaho,14999,,,,
Illinois,2539891,19,21,120947.190476,7.449770
Indiana,1680637,13,15,112042.466667,6.827657
Iowa,1194020,9,11,108547.272727,6.583471
Kansas,364399,3,5,72879.800000,4.091623
Kentucky,1321011,10,12,110084.250000,6.690849
Louisiana,726915,6,8,90864.375000,5.348085
Maine,626915,5,7,89559.285714,5.256907
Maryland,780894,6,8,97611.750000,5.819479
Massachusetts,1457351,11,13,112103.923077,6.831950
Michigan,1184059,9,11,107641.727273,6.520206
Minnesota,439706,3,5,87941.200000,5.143863
Mississippi,827922,6,8,103490.250000,6.230170
Missouri,1721295,13,15,114753.000000,7.017023
Montana,20595,,,,
Nebraska,122993,1,3,40997.666667,1.864232
Nevada,42941,1,3,14313.666667,0.000000
NewHampshire,318300,3,5,63660.000000,3.447498
NewJersey,906096,7,9,100677.333333,6.033651
NewMexico,91874,,,,
NewYork,4382759,33,35,125221.685714,7.748400
NorthCarolina,1071361,10,12,89280.083333,5.237401
NorthDakota,2405,,,,
Ohio,2665260,20,22,121148.181818,7.463812
Oklahoma,,,,,
Oregon,90923,1,3,30307.666667,1.117394
Pennsylvania,3521951,27,29,121446.586207,7.484659
RhodeIsland,217353,2,4,54338.250000,2.796250
SouthCarolina,705606,5,7,100800.857143,6.042281
SouthDakota,11776,,,,
Tennessee,1258520,10,12,104876.666667,6.327030
Texas,818579,6,8,102322.375000,6.148579
Utah,86336,,,,
Vermont,330551,3,5,66110.200000,3.618677
Virginia,1225163,9,11,111378.454545,6.781266
Washington,23955,,,,
WestVirginia,442014,3,5,88402.800000,5.176111
Wisconsin,1054670,8,10,105467.000000,6.368273
Wyoming,9118,,,,
