State,Population,Apportionment,Electoral Votes,Average Constituency,Relative Unfairness
Alabama,4062608,7,9,448954.1111,1.969352
Alaska,551947,1,3,183347.6667,0.212649
Arizona,3677985,6,8,458153.5,2.030196
Arkansas,2362239,4,6,391787.5,1.591256
California,29839250,52,54,551111.5,2.645014
Colorado,3307912,6,8,411799.25,1.723612
Connecticut,3295669,6,8,410889.5,1.717595
Delaware,668696,1,3,222056,0.468663
Florida,13003362,23,25,517517.04,2.422822
Georgia,6508419,11,13,498324.3077,2.295883
Hawaii,1115274,2,4,277057.25,0.832438
Idaho,1011986,2,4,251687.25,0.664642
Illinois,11466682,20,22,519572.8182,2.436419
Indiana,5564228,10,12,462013.25,2.055724
Iowa,2787424,5,7,396679.2857,1.62361
Kansas,2485600,4,6,412929,1.731084
Kentucky,3698969,6,8,460662,2.046787
Louisiana,4238216,7,9,468885.8889,2.101179
Maine,1233223,2,4,306982,1.030358
Maryland,4798622,8,10,478146.8,2.16243
Massachusetts,6029051,10,12,501368.75,2.316019
Michigan,9328784,16,18,516405.3889,2.41547
Minnesota,4387029,8,10,437509.9,1.893661
Mississippi,2586443,5,7,367602.2857,1.431296
Missouri,5137804,9,11,465188.4545,2.076725
Montana,803655,1,3,266355,0.761654
Nebraska,1584617,3,5,315677,1.087866
Nevada,1206152,2,4,300458.25,0.98721
New Hampshire,1113915,2,4,277313,0.834129
New Jersey,7748634,13,15,515345.8667,2.408462
New Mexico,1521779,3,5,303013.8,1.004113
New York,18044505,31,33,545165.303,2.605686
North Carolina,6657630,12,14,473474.0714,2.131525
North Dakota,641364,1,3,212933.3333,0.408326
Ohio,10887325,19,21,516529.2857,2.416289
Oklahoma,3157604,6,8,393198.125,1.600585
Oregon,2853733,5,7,406045.8571,1.68556
Pennsylvania,11924710,21,23,516593.1739,2.416712
Rhode Island,1005984,2,4,250866,0.659211
South Carolina,3505707,6,8,435837.875,1.882602
South Dakota,699999,1,3,232001.3333,0.534441
Tennessee,4896641,9,11,443380.4545,1.932488
Texas,17059805,30,32,530828.4375,2.510863
Utah,1727784,3,5,344570,1.278962
Vermont,564964,1,3,187586,0.240681
Virginia,6216568,11,13,475950.6154,2.147905
Washington,4887941,9,11,442426.5455,1.926179
West Virginia,1801625,3,5,358695.4,1.372387
Wisconsin,4906745,9,11,444706.2727,1.941257
Wyoming,455975,1,3,151196,0
