State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,771623,7,9,85735.888889,2.703614
Alaska,,,,,
Arizona,,,,,
Arkansas,209897,2,4,52474.250000,1.266780
California,92597,2,4,23149.250000,0.000000
Colorado,,,,,
Connecticut,370792,4,6,61798.666667,1.669575
Delaware,91532,1,3,30510.666667,0.317998
DistrictofColumbia,51687,,,,
Florida,87445,1,3,29148.333333,0.259148
Georgia,906185,8,10,90618.500000,2.914533
Hawaii,,,,,
Idaho,,,,,
Illinois,851470,9,11,77406.363636,2.343796
Indiana,988416,11,13,76032.000000,2.284426
Iowa,192214,2,4,48053.500000,1.075812
Kansas,,,,,
Kentucky,982405,10,12,81867.083333,2.536490
Louisiana,517762,4,6,86293.666667,2.727709
Maine,583169,6,8,72896.125000,2.148963
Maryland,583034,6,8,72879.250000,2.148234
Massachusetts,994514,11,13,76501.076923,2.304689
Michigan,397654,4,6,66275.666667,1.862973
Minnesota,6077,,,,
Mississippi,606526,5,7,86646.571429,2.742954
Missouri,682044,7,9,75782.666667,2.273655
Montana,,,,,
Nebraska,,,,,
Nevada,,,,,
NewHampshire,317976,2,4,79494.000000,2.433977
NewJersey,489555,5,7,69936.428571,2.021110
NewMexico,61547,,,,
NewYork,3097394,33,35,88496.971429,2.822887
NorthCarolina,869039,8,10,86903.900000,2.754070
NorthDakota,,,,,
Ohio,1980329,21,23,86101.260870,2.719397
Oklahoma,,,,,
Oregon,12093,,,,
Pennsylvania,2311786,25,27,85621.703704,2.698682
RhodeIsland,147545,2,4,36886.250000,0.593410
SouthCarolina,668507,6,8,83563.375000,2.609766
SouthDakota,,,,,
Tennessee,1002717,10,12,83559.750000,2.609609
Texas,212592,2,4,53148.000000,1.295884
Utah,11380,,,,
Vermont,314120,3,5,62824.000000,1.713868
Virginia,1421661,13,15,94777.400000,3.094189
Washington,1201,,,,
WestVirginia,302313,,,,
Wisconsin,305391,5,7,43627.285714,0.884609
Wyoming,,,,,
