State,Apportionment,Electoral Votes
Alabama,12,14
Alaska,2,4
Arizona,16,18
Arkansas,7,9
California,93,95
Colorado,13,15
Connecticut,9,11
Delaware,2,4
District of Columbia,,3
Florida,47,49
Georgia,24,26
Hawaii,3,5
Idaho,4,6
Illinois,32,34
Indiana,16,18
Iowa,8,10
Kansas,7,9
Kentucky,11,13
Louisiana,11,13
Maine,3,5
Maryland,14,16
Massachusetts,16,18
Michigan,25,27
Minnesota,13,15
Mississippi,7,9
Missouri,15,17
Montana,3,5
Nebraska,5,7
Nevada,7,9
New Hampshire,3,5
New Jersey,22,24
New Mexico,5,7
New York,49,51
North Carolina,24,26
North Dakota,2,4
Ohio,29,31
Oklahoma,9,11
Oregon,10,12
Pennsylvania,32,34
Rhode Island,3,5
South Carolina,12,14
South Dakota,2,4
Tennessee,16,18
Texas,63,65
Utah,7,9
Vermont,2,4
Virginia,20,22
Washington,17,19
West Virginia,5,7
Wisconsin,14,16
Wyoming,2,4
