State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,1250,,,,
Alaska,,,,,
Arizona,,,,,
Arkansas,,,,,
California,,,,,
Colorado,,,,,
Connecticut,251002,7,9,27889.111111,0.613906
Delaware,64273,1,3,21424.333333,0.239798
DistrictofColumbia,8144,,,,
Florida,,,,,
Georgia,162686,2,4,40671.500000,1.353607
Hawaii,,,,,
Idaho,,,,,
Illinois,2458,,,,
Indiana,2632,,,,
Iowa,,,,,
Kansas,,,,,
Kentucky,220955,2,4,55238.750000,2.196594
Louisiana,,,,,
Maine,151719,,,,
Maryland,341548,8,10,34154.800000,0.976494
Massachusetts,422845,14,16,26427.812500,0.529343
Michigan,3757,,,,
Minnesota,,,,,
Mississippi,7600,,,,
Missouri,,,,,
Montana,,,,,
Nebraska,,,,,
Nevada,,,,,
NewHampshire,183858,4,6,30643.000000,0.773270
NewJersey,211149,5,7,30164.142857,0.745560
NewMexico,,,,,
NewYork,589051,10,12,49087.583333,1.840634
NorthCarolina,478103,10,12,39841.916667,1.305600
NorthDakota,,,,,
Ohio,42159,,,,
Oklahoma,,,,,
Oregon,,,,,
Pennsylvania,602365,13,15,40157.666667,1.323872
RhodeIsland,69122,2,4,17280.500000,0.000000
SouthCarolina,345591,6,8,43198.875000,1.499863
SouthDakota,,,,,
Tennessee,105602,1,3,35200.666667,1.037017
Texas,,,,,
Utah,,,,,
Vermont,154465,2,4,38616.250000,1.234672
Virginia,886149,19,21,42197.571429,1.441918
Washington,,,,,
WestVirginia,78592,,,,
Wisconsin,,,,,
Wyoming,,,,,
