State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,1513401,9,11,137581.909091,7.715990
Alaska,32052,,,,
Arizona,88243,,,,
Arkansas,1128211,6,8,141026.375000,7.934202
California,1213398,7,9,134822.000000,7.541147
Colorado,413249,2,4,103312.250000,5.544964
Connecticut,746258,4,6,124376.333333,6.879400
Delaware,168493,1,3,56164.333333,2.558083
DistrictofColumbia,230392,,,,
Florida,391422,2,4,97855.500000,5.199271
Georgia,1837353,11,13,141334.846154,7.953744
Hawaii,,,,,
Idaho,88548,1,3,29516.000000,0.869876
Illinois,3826352,22,24,159431.333333,9.100179
Indiana,2192404,13,15,146160.266667,8.259440
Iowa,1912297,11,13,147099.769231,8.318959
Kansas,1428108,8,10,142810.800000,8.047247
Kentucky,1858635,11,13,142971.923077,8.057455
Louisiana,1118588,6,8,139823.500000,7.857998
Maine,661086,4,6,110181.000000,5.980108
Maryland,1042390,6,8,130298.750000,7.254593
Massachusetts,2238947,13,15,149263.133333,8.456011
Michigan,2093890,12,14,149563.571429,8.475044
Minnesota,1310283,7,9,145587.000000,8.223123
Mississippi,1289600,7,9,143288.888889,8.077535
Missouri,2679185,15,17,157599.117647,8.984106
Montana,142924,1,3,47641.333333,2.018140
Nebraska,1062656,6,8,132832.000000,7.415078
Nevada,47355,1,3,15785.000000,0.000000
NewHampshire,376530,2,4,94132.500000,4.963415
NewJersey,1444933,8,10,144493.300000,8.153836
NewMexico,160282,,,,
NewYork,6003174,34,36,166754.833333,9.564133
NorthCarolina,1617949,9,11,147086.272727,8.318104
NorthDakota,190983,1,3,63661.000000,3.033006
Ohio,3672329,21,23,159666.478261,9.115076
Oklahoma,258657,,,,
Oregon,317704,2,4,79426.000000,4.031739
Pennsylvania,5258113,30,32,164316.031250,9.409631
RhodeIsland,345506,2,4,86376.500000,4.472062
SouthCarolina,1151149,7,9,127905.444444,7.102974
SouthDakota,348600,2,4,87150.000000,4.521064
Tennessee,1767518,10,12,147293.166667,8.331211
Texas,2235527,13,15,149035.133333,8.441567
Utah,210779,,,,
Vermont,332422,2,4,83105.500000,4.264840
Virginia,1655980,10,12,137998.333333,7.742371
Washington,357232,2,4,89308.000000,4.657776
WestVirginia,762794,4,6,127132.333333,7.053996
Wisconsin,1693330,10,12,141110.833333,7.939552
Wyoming,62555,1,3,20851.666667,0.320980
