State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,127901,1,3,42633.666667,1.344151
Alaska,,,,,
Arizona,,,,,
Arkansas,14273,,,,
California,,,,,
Colorado,,,,,
Connecticut,275248,7,9,30583.111111,0.681569
Delaware,72749,2,4,18187.250000,0.000000
DistrictofColumbia,23336,,,,
Florida,,,,,
Georgia,340989,6,8,42623.625000,1.343599
Hawaii,,,,,
Idaho,,,,,
Illinois,55211,1,3,18403.666667,0.011899
Indiana,147178,1,3,49059.333333,1.697457
Iowa,,,,,
Kansas,,,,,
Kentucky,564317,10,12,47026.416667,1.585680
Louisiana,153407,1,3,51135.666667,1.811622
Maine,298335,7,9,33148.333333,0.822614
Maryland,407350,9,11,37031.818182,1.036142
Massachusetts,523287,13,15,34885.800000,0.918146
Michigan,7452,,,,
Minnesota,,,,,
Mississippi,75448,1,3,25149.333333,0.382800
Missouri,66586,1,3,22195.333333,0.220379
Montana,,,,,
Nebraska,,,,,
Nevada,,,,,
NewHampshire,244161,6,8,30520.125000,0.678106
NewJersey,277575,6,8,34696.875000,0.907758
NewMexico,,,,,
NewYork,1372812,27,29,47338.344828,1.602831
NorthCarolina,638829,13,15,42588.600000,1.341673
NorthDakota,,,,,
Ohio,581434,6,8,72679.250000,2.996165
Oklahoma,,,,,
Oregon,,,,,
Pennsylvania,1049458,23,25,41978.320000,1.308118
RhodeIsland,83059,2,4,20764.750000,0.141720
SouthCarolina,502741,9,11,45703.727273,1.512954
SouthDakota,,,,,
Tennessee,422823,6,8,52852.875000,1.906040
Texas,,,,,
Utah,,,,,
Vermont,235981,6,8,29497.625000,0.621885
Virginia,1075069,23,25,43002.760000,1.364445
Washington,,,,,
WestVirginia,136808,,,,
Wisconsin,1444,,,,
Wyoming,,,,,
