State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,1262505,8,10,126250.500000,5.082798
Alaska,33426,,,,
Arizona,40440,,,,
Arkansas,802525,4,6,133754.166667,5.444328
California,864694,4,6,144115.666667,5.943549
Colorado,194327,1,3,64775.666667,2.120917
Connecticut,622700,4,6,103783.333333,4.000321
Delaware,146608,1,3,48869.333333,1.354543
DistrictofColumbia,177624,,,,
Florida,269493,2,4,67373.250000,2.246069
Georgia,1542180,9,11,140198.181818,5.754803
Hawaii,,,,,
Idaho,32610,,,,
Illinois,3077871,19,21,146565.285714,6.061572
Indiana,1978301,13,15,131886.733333,5.354354
Iowa,1624615,9,11,147692.272727,6.115871
Kansas,996096,3,5,199219.200000,8.598458
Kentucky,1648690,10,12,137390.833333,5.619544
Louisiana,939946,6,8,117493.250000,4.660870
Maine,648936,5,7,92705.142857,3.466570
Maryland,934943,6,8,116867.875000,4.630739
Massachusetts,1783085,11,13,137160.384615,5.608440
Michigan,1636937,9,11,148812.454545,6.169842
Minnesota,780773,3,5,156154.600000,6.523589
Mississippi,1131597,6,8,141449.625000,5.815098
Missouri,2168380,13,15,144558.666667,5.964893
Montana,39159,,,,
Nebraska,452402,1,3,150800.666667,6.265635
Nevada,62266,1,3,20755.333333,0.000000
NewHampshire,346991,3,5,69398.200000,2.343632
NewJersey,1131116,7,9,125679.555556,5.055290
NewMexico,119565,,,,
NewYork,5082871,33,35,145224.885714,5.996991
NorthCarolina,1399750,8,10,139975.000000,5.744050
NorthDakota,36909,,,,
Ohio,3198062,20,22,145366.454545,6.003812
Oklahoma,,,,,
Oregon,174768,1,3,58256.000000,1.806797
Pennsylvania,4282891,27,29,147685.896552,6.115564
RhodeIsland,276531,2,4,69132.750000,2.330843
SouthCarolina,995577,5,7,142225.285714,5.852469
SouthDakota,98268,,,,
Tennessee,1542359,10,12,128529.916667,5.192621
Texas,1591749,6,8,198968.625000,8.586385
Utah,143963,,,,
Vermont,332286,3,5,66457.200000,2.201934
Virginia,1512565,9,11,137505.909091,5.625088
Washington,75116,,,,
WestVirginia,618457,3,5,123691.400000,4.959500
Wisconsin,1315497,8,10,131549.700000,5.338116
Wyoming,20789,,,,
