State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,309527,5,7,44218.142857,0.819695
Alaska,,,,,
Arizona,,,,,
Arkansas,30388,,,,
California,,,,,
Colorado,,,,,
Connecticut,297675,6,8,37209.375000,0.531266
Delaware,76748,1,3,25582.666667,0.052795
DistrictofColumbia,30261,,,,
Florida,34730,,,,
Georgia,516823,9,11,46983.909091,0.933514
Hawaii,,,,,
Idaho,,,,,
Illinois,157445,3,5,31489.000000,0.295857
Indiana,343031,7,9,38114.555556,0.568516
Iowa,,,,,
Kansas,,,,,
Kentucky,687917,13,15,45861.133333,0.887309
Louisiana,215739,3,5,43147.800000,0.775648
Maine,399455,8,10,39945.500000,0.643865
Maryland,447040,8,10,44704.000000,0.839690
Massachusetts,610408,12,14,43600.571429,0.794281
Michigan,28004,,,,
Minnesota,,,,,
Mississippi,136621,2,4,34155.250000,0.405580
Missouri,140455,2,4,35113.750000,0.445025
Montana,,,,,
Nebraska,,,,,
Nevada,,,,,
NewHampshire,269328,5,7,38475.428571,0.583367
NewJersey,320823,6,8,40102.875000,0.650341
NewMexico,,,,,
NewYork,1918608,40,42,45681.142857,0.879902
NorthCarolina,737987,13,15,49199.133333,1.024677
NorthDakota,,,,,
Ohio,937903,19,21,44662.047619,0.837963
Oklahoma,,,,,
Oregon,,,,,
Pennsylvania,1348233,28,30,44941.100000,0.849447
RhodeIsland,97199,2,4,24299.750000,0.000000
SouthCarolina,581185,9,11,52835.000000,1.174302
SouthDakota,,,,,
Tennessee,681904,13,15,45460.266667,0.870812
Texas,,,,,
Utah,,,,,
Vermont,280652,5,7,40093.142857,0.649941
Virginia,1220978,23,25,48839.120000,1.009861
Washington,,,,,
WestVirginia,176924,,,,
Wisconsin,3635,,,,
Wyoming,,,,,
