State,Population,Apportionment,Electoral Votes,AverageConstituency,RelativeUnfairness
Alabama,4461130,7,9,494122.222222,2.002067
Alaska,628933,1,3,208977.333333,0.269653
Arizona,5140683,8,10,513063.2,2.117144
Arkansas,2679733,4,6,445566.666667,1.707065
California,33930798,53,55,615848.145455,2.74162
Colorado,4311882,7,9,477917.888889,1.903617
Connecticut,3409535,5,7,486509.285714,1.955814
Delaware,785068,1,3,261200,0.586935
DistrictofColumbia,,,3,190686.333333,0.158525
Florida,16028890,25,27,591939.925926,2.596364
Georgia,8206975,13,15,545763.533333,2.315817
Hawaii,1216642,2,4,302884.25,0.84019
Idaho,1297274,2,4,323488.25,0.965371
Illinois,12439042,19,21,591394.904762,2.593053
Indiana,6090782,9,11,552771.363636,2.358393
Iowa,2931923,5,7,418046.285714,1.539863
Kansas,2693824,4,6,448069.666667,1.722272
Kentucky,4049431,6,8,505221.125,2.069499
Louisiana,4480271,7,9,496552.888889,2.016835
Maine,1277731,2,4,318730.75,0.936466
Maryland,5307886,8,10,529648.6,2.21791
Massachusetts,6355568,10,12,529091.416667,2.214524
Michigan,9955829,15,17,584614.352941,2.551857
Minnesota,4925670,8,10,491947.9,1.988857
Mississippi,2852927,4,6,474109.666667,1.88048
Missouri,5606260,9,11,508655.545455,2.090365
Montana,905316,1,3,300731.666667,0.827112
Nebraska,1715369,3,5,342252.6,1.079375
Nevada,2002032,3,5,399651.4,1.428104
NewHampshire,1238415,2,4,308946.5,0.877022
NewJersey,8424354,13,15,560956.666667,2.408123
NewMexico,1823821,3,5,363809.2,1.210343
NewYork,19004973,29,31,612143.774194,2.719114
NorthCarolina,8067673,13,15,536620.866667,2.26027
NorthDakota,643756,1,3,214066.666667,0.300574
Ohio,11374540,18,20,567657,2.448832
Oklahoma,3458819,5,7,492950.571429,1.994949
Oregon,3428543,5,7,488771.285714,1.969557
Pennsylvania,12300670,19,21,584812.095238,2.553058
RhodeIsland,1049662,2,4,262079.75,0.59228
SouthCarolina,4025061,6,8,501501.5,2.0469
SouthDakota,756874,1,3,251614.666667,0.528699
Tennessee,5700037,9,11,517207.545455,2.142323
Texas,20903994,32,34,613288.823529,2.72607
Utah,2236714,3,5,446633.8,1.713548
Vermont,609890,1,3,202942.333333,0.232987
Virginia,7100702,11,13,544501.153846,2.308147
Washington,5908684,9,11,535829.181818,2.25546
WestVirginia,1813077,3,5,361668.8,1.197339
Wisconsin,5371210,8,10,536367.5,2.258731
Wyoming,495304,1,3,164594,0
