State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,3893888,7,9,432654.222222,2.229960
Alaska,401851,1,3,133950.333333,0.000000
Arizona,2718215,5,7,388316.428571,1.898958
Arkansas,2286435,4,6,381072.500000,1.844879
California,23667902,45,47,503572.382979,2.759396
Colorado,2889964,6,8,361245.500000,1.696862
Connecticut,3107576,6,8,388447.000000,1.899933
Delaware,594338,1,3,198112.666667,0.479001
DistrictofColumbia,638333,,3,212777.666667,0.588482
Florida,9746324,19,21,464110.666667,2.464797
Georgia,5463105,10,12,455258.750000,2.398713
Hawaii,964691,2,4,241172.750000,0.800464
Idaho,943935,2,4,235983.750000,0.761726
Illinois,11426518,22,24,476104.916667,2.554339
Indiana,5490224,10,12,457518.666667,2.415584
Iowa,2913808,6,8,364226.000000,1.719112
Kansas,2363679,5,7,337668.428571,1.520848
Kentucky,3660777,7,9,406753.000000,2.036596
Louisiana,4205900,8,10,420590.000000,2.139895
Maine,1124660,2,4,281165.000000,1.099024
Maryland,4216975,8,10,421697.500000,2.148163
Massachusetts,5737037,11,13,441310.538462,2.294583
Michigan,9262078,18,20,463103.900000,2.457281
Minnesota,4075970,8,10,407597.000000,2.042896
Mississippi,2520638,5,7,360091.142857,1.688244
Missouri,4916686,9,11,446971.454545,2.336845
Montana,786690,2,4,196672.500000,0.468249
Nebraska,1569825,3,5,313965.000000,1.343891
Nevada,800493,2,4,200123.250000,0.494011
NewHampshire,920610,2,4,230152.500000,0.718193
NewJersey,7364823,14,16,460301.437500,2.436359
NewMexico,1302894,3,5,260578.800000,0.945339
NewYork,17558072,34,36,487724.222222,2.641083
NorthCarolina,5881766,11,13,452443.538462,2.377696
NorthDakota,652717,1,3,217572.333333,0.624276
Ohio,10797630,21,23,469462.173913,2.504748
Oklahoma,3025290,6,8,378161.250000,1.823145
Oregon,2633105,5,7,376157.857143,1.808189
Pennsylvania,11863895,23,25,474555.800000,2.542774
RhodeIsland,947154,2,4,236788.500000,0.767734
SouthCarolina,3121820,6,8,390227.500000,1.913225
SouthDakota,690768,1,3,230256.000000,0.718965
Tennessee,4591120,9,11,417374.545455,2.115890
Texas,14229191,27,29,490661.758621,2.663013
Utah,1461037,3,5,292207.400000,1.181461
Vermont,511456,1,3,170485.333333,0.272750
Virginia,5346818,10,12,445568.166667,2.326368
Washington,4132156,8,10,413215.600000,2.084842
WestVirginia,1949644,4,6,324940.666667,1.425829
Wisconsin,4705767,9,11,427797.000000,2.193699
Wyoming,469557,1,3,156519.000000,0.168485
