State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,2646248,9,11,240568.000000,6.925762
Alaska,59278,,,,
Arizona,435573,1,3,145191.000000,3.783468
Arkansas,1854482,7,9,206053.555556,5.788648
California,5677251,20,22,258056.863636,7.501950
Colorado,1035791,4,6,172631.833333,4.687534
Connecticut,1606903,6,8,200862.875000,5.617635
Delaware,238380,1,3,79460.000000,1.617892
DistrictofColumbia,486869,,,,
Florida,1468211,5,7,209744.428571,5.910247
Georgia,2908506,10,12,242375.500000,6.985312
Hawaii,368300,,,,
Idaho,445032,2,4,111258.000000,2.665510
Illinois,7630654,27,29,263126.000000,7.668958
Indiana,3238503,12,14,231321.642857,6.621131
Iowa,2470939,9,11,224630.818182,6.400695
Kansas,1880999,7,9,208999.888889,5.885718
Kentucky,2614589,9,11,237689.909091,6.830940
Louisiana,2101593,8,10,210159.300000,5.923916
Maine,797423,3,5,159484.600000,4.254385
Maryland,1631526,6,8,203940.750000,5.719039
Massachusetts,4249614,15,17,249977.294118,7.235761
Michigan,4842325,17,19,254859.210526,7.396600
Minnesota,2563953,9,11,233086.636364,6.679280
Mississippi,2009821,7,9,223313.444444,6.357292
Missouri,3629367,13,15,241957.800000,6.971550
Montana,537606,2,4,134401.500000,3.427996
Nebraska,1377963,5,7,196851.857143,5.485488
Nevada,91058,1,3,30352.666667,0.000000
NewHampshire,465293,2,4,116323.250000,2.832390
NewJersey,4041334,14,16,252583.375000,7.321621
NewMexico,423317,1,3,141105.666667,3.648872
NewYork,12588066,45,47,267831.191489,7.823976
NorthCarolina,3170276,11,13,243867.384615,7.034463
NorthDakota,680845,2,4,170211.250000,4.607786
Ohio,6646697,24,26,255642.192308,7.422396
Oklahoma,2396040,9,11,217821.818182,6.176365
Oregon,953786,3,5,190757.200000,5.284693
Pennsylvania,9631350,34,36,267537.500000,7.814300
RhodeIsland,687497,2,4,171874.250000,4.662575
SouthCarolina,1738765,6,8,217345.625000,6.160676
SouthDakota,692849,2,4,173212.250000,4.706657
Tennessee,2616556,9,11,237868.727273,6.836831
Texas,5824715,21,23,253248.478261,7.343533
Utah,507847,2,4,126961.750000,3.182886
Vermont,359611,1,3,119870.333333,2.949252
Virginia,2421851,9,11,220168.272727,6.253671
Washington,1563396,6,8,195424.500000,5.438462
WestVirginia,1729205,6,8,216150.625000,6.121306
Wisconsin,2939006,10,12,244917.166667,7.069049
Wyoming,225565,1,3,75188.333333,1.477157
