State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,,,,,
Alaska,,,,,
Arizona,,,,,
Arkansas,,,,,
California,,,,,
Colorado,,,,,
Connecticut,237946,7,9,26438.444444,0.536561
Delaware,59096,1,3,19698.666667,0.144855
DistrictofColumbia,,,,,
Florida,,,,,
Georgia,82548,2,4,20637.000000,0.199390
Hawaii,,,,,
Idaho,,,,,
Illinois,,,,,
Indiana,,,,,
Iowa,,,,,
Kansas,,,,,
Kentucky,73677,2,4,18419.250000,0.070498
Louisiana,,,,,
Maine,96540,,,,
Maryland,319728,8,10,31972.800000,0.858208
Massachusetts,378787,14,16,23674.187500,0.375906
Michigan,,,,,
Minnesota,,,,,
Mississippi,,,,,
Missouri,,,,,
Montana,,,,,
Nebraska,,,,,
Nevada,,,,,
NewHampshire,141885,4,6,23647.500000,0.374355
NewJersey,184139,5,7,26305.571429,0.528838
NewMexico,,,,,
NewYork,340120,10,12,28343.333333,0.647270
NorthCarolina,393751,10,12,32812.583333,0.907015
NorthDakota,,,,,
Ohio,,,,,
Oklahoma,,,,,
Oregon,,,,,
Pennsylvania,434373,13,15,28958.200000,0.683005
RhodeIsland,68825,2,4,17206.250000,0.000000
SouthCarolina,249073,6,8,31134.125000,0.809466
SouthDakota,,,,,
Tennessee,35691,,,,
Texas,,,,,
Utah,,,,,
Vermont,85425,2,4,21356.250000,0.241191
Virginia,747610,19,21,35600.476190,1.069043
Washington,,,,,
WestVirginia,,,,,
Wisconsin,,,,,
Wyoming,,,,,
